"ID","CHECKING_BALANCE","PAYMENT_TERM","CREDIT_HISTORY","LOAN_PURPOSE","LOAN_AMOUNT","EXISTING_SAVINGS","EMPLOYMENT_DURATION","INSTALLMENT_PERCENT","SEX","OTHERS_ON_LOAN","CURRENT_RESIDENCE_DURATION","PROPERTY","AGE","INSTALLMENT_PLANS","HOUSING","EXISTING_CREDITS_COUNT","JOB_TYPE","DEPENDENTS","TELEPHONE","FOREIGN_WORKER","ALLOW"
24252,,1080.0,,APPLIANCES,5927.0,,14.0,4.0,M,CO-APPLICANT,3.0,SAVINGS_INSURANCE,47.0,NONE,OWN,,3.0,1.0,0.0,1.0,0
1002018,,124.0,,CAR_NEW,250.0,,0.0,1.0,M,NONE,2.0,SAVINGS_INSURANCE,19.0,STORES,RENT,,3.0,1.0,0.0,1.0,1
1240455,,930.0,,EDUCATION,6500.0,,7.0,4.0,F,NONE,3.0,UNKNOWN,50.0,NONE,OWN,,2.0,1.0,1.0,1.0,0
107799,,527.0,,CAR_USED,1841.0,,0.0,2.0,M,NONE,2.0,REAL_ESTATE,35.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
184883,,1147.0,,CAR_USED,6616.0,,9.0,3.0,M,CO-APPLICANT,4.0,CAR_OTHER,40.0,STORES,OWN,,1.0,1.0,0.0,1.0,0
1033240,,600.0,,RETRAINING,3822.0,,12.0,3.0,M,NONE,3.0,CAR_OTHER,35.0,BANK,OWN,,1.0,1.0,1.0,1.0,0
301035,,589.0,,RADIO_TV,4548.0,,6.0,4.0,F,NONE,4.0,SAVINGS_INSURANCE,36.0,NONE,OWN,,3.0,2.0,1.0,1.0,1
1151457,,837.0,,APPLIANCES,4204.0,,6.0,3.0,M,NONE,4.0,CAR_OTHER,52.0,NONE,OWN,,3.0,1.0,0.0,1.0,1
964887,,870.0,,CAR_USED,5844.0,,4.0,3.0,M,NONE,4.0,SAVINGS_INSURANCE,48.0,NONE,OWN,,3.0,1.0,1.0,1.0,1
460617,,124.0,,CAR_USED,2771.0,,3.0,2.0,M,NONE,3.0,REAL_ESTATE,23.0,NONE,OWN,,2.0,2.0,1.0,1.0,1
301206,,1147.0,,OTHER,5799.0,,8.0,5.0,F,NONE,4.0,CAR_OTHER,42.0,NONE,FREE,,2.0,2.0,1.0,1.0,0
912129,,780.0,,RADIO_TV,4449.0,,2.0,3.0,M,NONE,4.0,UNKNOWN,43.0,STORES,OWN,,1.0,2.0,1.0,1.0,0
195800,,810.0,,RADIO_TV,5645.0,,5.0,4.0,F,NONE,5.0,SAVINGS_INSURANCE,48.0,NONE,OWN,,2.0,1.0,1.0,1.0,0
113023,,899.0,,FURNITURE,7061.0,,4.0,3.0,F,NONE,4.0,SAVINGS_INSURANCE,38.0,BANK,OWN,,1.0,1.0,0.0,1.0,1
859337,,713.0,,EDUCATION,5130.0,,2.0,3.0,F,NONE,4.0,REAL_ESTATE,38.0,NONE,OWN,,2.0,1.0,0.0,1.0,0
